front,back
"Interview: Welche Phase vom ISO?","Verstehen und Festlegen des Nutzungskontext"
"Feldbeobachtung: Welche Phase vom ISO?","Verstehen und Festlegen des Nutzungskontext"
"Fokusgruppen: Welche Phase vom ISO?","Verstehen und Festlegen des Nutzungskontext UND Evaluieren der Gestaltungslösung"
"Dokumente: Welche Phase vom ISO?","Verstehen und Festlegen des Nutzungskontext"
"Analyse ähnlicher oder bestehender Systeme: Welche Phase vom ISO?","Verstehen und Festlegen des Nutzungskontext"
"Formulierung der Anforderungen: Welche Phase vom ISO?","Festlegen der Nutzungsanforderungen"
"Dokumentation in Use Cases & User Stories: Welche Phase vom ISO?","Festlegen der Nutzungsanforderungen"
"Vertikaler/horizontaler Prototyp: Welche Phase vom ISO?","Erarbeiten von Gestaltungslösungen"
"Prototyping: Welche Phase vom ISO?","Erarbeiten von Gestaltungslösungen"
"Thinking Aloud: Welche Phase vom ISO?","Evaluieren der Gestaltungslösung"
"Inspektion auf Basis von Kontextanalysen: Welche Phase vom ISO?","Evaluieren der Gestaltungslösung"
"Heuristische Evaluation: Welche Phase vom ISO?","Evaluieren der Gestaltungslösung"
"Szenenbasierter Walkthrough: Welche Phase vom ISO?","Evaluieren der Gestaltungslösung"
"Interviews: Empirisch oder analytisch?","Empirisch"
"Feldbeobachtungen: Empirisch oder analytisch?","Empirisch"
"Fokusgruppen: Empirisch oder analytisch?","Empirisch"
"Dokumente: Empirisch oder analytisch?","Analytisch"
"Analyse ähnlicher oder bestehender Systeme: Empirisch oder analytisch?","Analytisch"
"4 Eigenschaften von Nutzungsanforderungen","Abstrakt, eindeutig, nachvollziehbar, überprüfbar"
"Unterschied zwischen vertikalen und horizontalen Prototypen","Vertikal: reiferer Prototyp eines kleineren Bereichs. Horizontal: weniger reifer Prototyp eines größeren Bereichs"
"Prototyping-Stufen","Konzeptioneller Prototyp, Papierprototyp, Statische Bildschirmdarstellung, Dynamische Simulation, Wizard-of-Oz-Technik"
"Evaluierung durch Fokusgruppen = Evaluierung durch Benutzer oder Experten?","Benutzer"
"Evaluierung durch Thinking Aloud = Evaluierung durch Benutzer oder Experten?","Benutzer"
"Evaluierung durch Inspektion auf Basis von Kontextanalysen = Evaluierung durch Benutzer oder Experten?","Benutzer"
"Evaluierung durch Heuristische Evaluation = Evaluierung durch Benutzer oder Experten?","Experten"
"Evaluierung durch Szenarienbasierten Walkthrough = Evaluierung durch Benutzer oder Experten?","Experten"
